# Time	f1(t)	f2(t)
0.000000e+00	5.920828e+03	0.000000e+00
2.000100e-02	2.031590e+00	8.411218e-77
4.000200e-02	7.233377e-01	2.182645e-47
6.000300e-02	3.942008e-01	2.614004e-35
8.000400e-02	2.559343e-01	9.460375e-29
1.000050e-01	1.829218e-01	1.118688e-24
1.200060e-01	1.389336e-01	6.231943e-22
1.400070e-01	1.100452e-01	5.769949e-20
1.600080e-01	8.988126e-02	1.712115e-18
1.800090e-01	7.515325e-02	2.366038e-17
2.000100e-01	6.401093e-02	1.912058e-16
2.200110e-01	5.534179e-02	1.045831e-15
2.400120e-01	4.844094e-02	4.271303e-15
2.600130e-01	4.284231e-02	1.393976e-14
2.800140e-01	3.822675e-02	3.816354e-14
3.000150e-01	3.436907e-02	9.082180e-14
3.200160e-01	3.110638e-02	1.929539e-13
3.400170e-01	2.831820e-02	3.734904e-13
3.600180e-01	2.591370e-02	6.691602e-13
3.800190e-01	2.382330e-02	1.123594e-12
4.000200e-01	2.199282e-02	1.785808e-12
4.200210e-01	2.037955e-02	2.708270e-12
4.400220e-01	1.894940e-02	3.944810e-12
4.600230e-01	1.767489e-02	5.548591e-12
4.800240e-01	1.653359e-02	7.570266e-12
5.000250e-01	1.550711e-02	1.005645e-11
5.200260e-01	1.458016e-02	1.304856e-11
5.400270e-01	1.374001e-02	1.658197e-11
5.600280e-01	1.297593e-02	2.068555e-11
5.800290e-01	1.227883e-02	2.538145e-11
6.000300e-01	1.164099e-02	3.068520e-11
6.200310e-01	1.105578e-02	3.660591e-11
6.400320e-01	1.051751e-02	4.314671e-11
6.600330e-01	1.002124e-02	5.030521e-11
6.800340e-01	9.562677e-03	5.807406e-11
7.000350e-01	9.138087e-03	6.644158e-11
7.200360e-01	8.744189e-03	7.539232e-11
7.400370e-01	8.378098e-03	8.490765e-11
7.600380e-01	8.037266e-03	9.496629e-11
7.800390e-01	7.719435e-03	1.055449e-10
8.000400e-01	7.422595e-03	1.166184e-10
8.200410e-01	7.144958e-03	1.281608e-10
8.400420e-01	6.884923e-03	1.401449e-10
8.600430e-01	6.641057e-03	1.525433e-10
8.800440e-01	6.412070e-03	1.653283e-10
9.000450e-01	6.196800e-03	1.784724e-10
9.200460e-01	5.994194e-03	1.919482e-10
9.400470e-01	5.803302e-03	2.057289e-10
9.600480e-01	5.623260e-03	2.197884e-10
9.800490e-01	5.453282e-03	2.341012e-10
1.000050e+00	5.292652e-03	2.486426e-10
1.020051e+00	5.140718e-03	2.633889e-10
1.040052e+00	4.996883e-03	2.783174e-10
1.060053e+00	4.860599e-03	2.934062e-10
1.080054e+00	4.731365e-03	3.086345e-10
1.100055e+00	4.608718e-03	3.239826e-10
1.120056e+00	4.492233e-03	3.394318e-10
1.140057e+00	4.381517e-03	3.549643e-10
1.160058e+00	4.276210e-03	3.705635e-10
1.180059e+00	4.175975e-03	3.862135e-10
1.200060e+00	4.080504e-03	4.018997e-10
1.220061e+00	3.989509e-03	4.176080e-10
1.240062e+00	3.902724e-03	4.333255e-10
1.260063e+00	3.819903e-03	4.490401e-10
